sales_id,order_id,order_code,store_id,product_id,discount_id,customer_id,time_id,quantity,total_amount,total_discount,total_charged,total_cost,total_profit,payment_method
1384,6,2000000006,1030,1387,0,1199,20241026,2.00,57.98,.00,57.98,35.92,22.06,checkmo
1385,7,2000000007,1030,1388,0,0,20241026,1.00,28.99,.00,28.99,17.96,11.03,checkmo
1386,8,2000000008,1030,1396,0,0,20241026,5.00,112.95,.00,112.95,48.55,64.40,checkmo
1387,9,2000000009,1030,1387,0,0,20241026,5.00,144.95,.00,144.95,89.80,55.15,checkmo
1388,10,2000000010,1030,1390,0,0,20241026,2.00,61.00,.00,61.00,23.92,37.08,checkmo
1389,11,2000000011,1030,1396,0,0,20241026,3.00,67.77,.00,67.77,29.13,38.64,checkmo
1390,12,2000000012,1030,1396,0,0,20241026,8.00,180.72,.00,180.72,77.68,103.04,checkmo
1391,13,2000000013,1030,1400,0,0,20241026,2.00,45.18,.00,45.18,24.52,20.66,checkmo
1392,14,2000000014,1030,1400,0,0,20241026,23.00,519.57,.00,519.57,281.98,237.59,checkmo
1393,15,2000000015,1030,1388,0,0,20241026,2.00,57.98,.00,57.98,35.92,22.06,checkmo
1394,16,2000000016,1030,1396,0,0,20241026,1.00,22.59,.00,22.59,9.71,12.88,checkmo
1395,17,2000000017,1030,1390,0,0,20241026,1.00,30.50,.00,30.50,11.96,18.54,checkmo
1396,18,2000000018,1030,1402,0,0,20241026,10.00,225.90,.00,225.90,122.60,103.30,checkmo
1397,19,2000000019,1030,1388,0,0,20241026,1.00,28.99,.00,28.99,17.96,11.03,checkmo
1398,20,2000000020,1030,1402,0,1199,20241026,2.00,45.18,.00,45.18,24.52,20.66,checkmo
1399,21,2000000021,1030,1390,0,1199,20241026,1.00,30.50,.00,30.50,11.96,18.54,checkmo
1400,22,2000000022,1030,1388,0,1199,20241027,3.00,86.97,.00,86.97,53.88,33.09,checkmo
1401,23,2000000023,1030,1402,0,1199,20241027,2.00,45.18,.00,45.18,24.52,20.66,checkmo
1402,24,2000000024,1030,1396,0,1199,20241027,1.00,22.59,.00,22.59,9.71,12.88,checkmo
1403,25,2000000025,1030,1390,0,1199,20241027,2.00,61.00,.00,61.00,23.92,37.08,checkmo
1404,26,2000000026,1030,1388,0,1199,20241027,12.00,347.88,.00,347.88,215.52,132.36,checkmo
1405,28,2000000028,1030,1407,0,0,20241027,2.00,45.18,.00,45.18,19.42,25.76,checkmo
1406,29,2000000029,1030,1400,0,0,20241027,2.00,45.18,.00,45.18,24.52,20.66,checkmo
1407,30,2000000030,1030,1390,0,0,20241027,2.00,61.00,.00,61.00,23.92,37.08,checkmo
1408,31,2000000031,1030,1400,0,1199,20241027,31.00,700.29,.00,700.29,380.06,320.23,checkmo
1409,32,2000000032,1030,1407,0,1199,20241027,2.00,45.18,.00,45.18,19.42,25.76,checkmo
1410,33,2000000033,1030,1390,0,1199,20241027,3.00,91.50,.00,91.50,35.88,55.62,checkmo
1411,34,2000000034,1030,1407,0,1200,20241028,2.00,45.18,.00,45.18,19.42,25.76,checkmo
1412,35,2000000035,1030,1396,0,1200,20241028,3.00,67.77,.00,67.77,29.13,38.64,checkmo
1413,36,2000000036,1030,1390,0,1200,20241028,1.00,30.50,.00,30.50,11.96,18.54,checkmo
1414,37,2000000037,1030,1400,0,1200,20241028,2.00,45.18,.00,45.18,24.52,20.66,checkmo
1415,38,2000000038,1030,1400,0,1199,20241028,1.00,22.59,.00,22.59,12.26,10.33,checkmo
1416,39,2000000039,1030,1390,0,1199,20241028,1.00,30.50,.00,30.50,11.96,18.54,checkmo
1417,40,000000001,1029,1387,0,1201,20241030,2.00,57.98,.00,57.98,35.92,22.06,checkmo
1418,41,000000002,1029,1396,0,1201,20241030,5.00,112.95,.00,112.95,48.55,64.40,checkmo
1419,42,000000003,1029,1388,0,1201,20241030,5.00,144.95,.00,144.95,89.80,55.15,checkmo
1420,43,000000004,1029,1400,0,1201,20241030,1.00,22.59,.00,22.59,12.26,10.33,checkmo
1421,44,000000005,1029,1402,0,0,20241030,1.00,22.59,.00,22.59,12.26,10.33,checkmo
1422,45,000000006,1029,1396,0,1202,20241030,2.00,45.18,.00,45.18,19.42,25.76,checkmo
1423,46,000000007,1029,1402,0,1202,20241030,51.00,1152.09,.00,1152.09,625.26,526.83,checkmo
1424,47,000000008,1029,1390,0,1202,20241030,3.00,91.50,.00,91.50,35.88,55.62,checkmo
1425,48,2000000040,1030,1396,0,0,20241030,11.00,248.49,.00,248.49,106.81,141.68,checkmo
