movement_id,workcenter_id,product_id,time_id,production_order_name,quantity,production_minutes_time,unit_production_time,parallel_capacity
157,16,135,20241026,AL-10/MO/00039,50.00,11.83,.24,25
158,17,131,20241026,AL-10/MO/00035,50.00,31.07,.62,25
159,17,133,20241026,AL-10/MO/00037,50.00,41.03,.82,25
160,17,134,20241026,AL-10/MO/00038,50.00,41.46,.83,25
161,18,133,20241026,AL-10/MO/00037,50.00,57.14,1.13,25
162,16,143,20241026,AL-10/MO/00047,100.00,19.82,.20,25
163,18,131,20241026,AL-10/MO/00035,50.00,26.00,.52,25
164,17,135,20241026,AL-10/MO/00039,50.00,12.60,.25,25
165,16,131,20241026,AL-10/MO/00035,50.00,18.28,.37,25
166,16,139,20241026,AL-10/MO/00043,50.00,7.37,.15,25
167,17,132,20241026,AL-10/MO/00036,50.00,41.00,.82,25
168,16,134,20241026,AL-10/MO/00038,50.00,8.41,.17,25
169,16,133,20241026,AL-10/MO/00037,50.00,10.85,.22,25
170,18,134,20241026,AL-10/MO/00038,50.00,57.20,1.13,25
171,17,143,20241026,AL-10/MO/00047,100.00,11.52,.12,25
172,18,136,20241026,AL-10/MO/00040,50.00,6.14,.12,25
173,17,145,20241026,AL-10/MO/00049,200.00,14.47,.07,25
174,18,138,20241026,AL-10/MO/00042,50.00,20.85,.42,25
175,16,146,20241026,AL-10/MO/00050,200.00,13.82,.07,25
176,17,146,20241026,AL-10/MO/00050,200.00,13.73,.07,25
177,18,135,20241026,AL-10/MO/00039,50.00,7.82,.16,25
178,16,145,20241026,AL-10/MO/00049,200.00,14.47,.07,25
179,18,145,20241026,AL-10/MO/00049,200.00,3.62,.02,25
180,16,132,20241026,AL-10/MO/00036,50.00,16.56,.33,25
181,18,132,20241026,AL-10/MO/00036,50.00,56.28,1.12,25
182,16,150,20241027,AL-10/MO/00058,50.00,20.89,.42,25
183,18,141,20241026,AL-10/MO/00045,100.00,37.45,.37,25
184,16,152,20241027,AL-10/MO/00061,100.00,13.98,.14,25
185,16,141,20241026,AL-10/MO/00045,100.00,22.50,.23,25
186,17,141,20241026,AL-10/MO/00045,100.00,11.52,.12,25
187,16,137,20241026,AL-10/MO/00041,50.00,8.90,.18,25
188,18,143,20241026,AL-10/MO/00047,100.00,38.35,.38,25
189,16,136,20241026,AL-10/MO/00040,50.00,18.93,.38,25
190,17,136,20241026,AL-10/MO/00040,50.00,3.29,.07,25
191,17,137,20241026,AL-10/MO/00041,50.00,2.98,.06,25
192,18,137,20241026,AL-10/MO/00041,50.00,6.34,.13,25
193,17,140,20241026,AL-10/MO/00044,50.00,7.12,.14,25
194,16,140,20241026,AL-10/MO/00044,50.00,18.32,.37,25
195,17,139,20241026,AL-10/MO/00043,50.00,21.96,.44,25
196,18,140,20241026,AL-10/MO/00044,50.00,6.66,.13,25
197,17,138,20241026,AL-10/MO/00042,50.00,10.33,.21,25
198,16,138,20241026,AL-10/MO/00042,50.00,9.91,.20,25
199,18,139,20241026,AL-10/MO/00043,50.00,6.70,.13,25
200,16,142,20241026,AL-10/MO/00048,100.00,18.75,.19,25
201,17,142,20241026,AL-10/MO/00048,100.00,11.17,.11,25
202,18,142,20241026,AL-10/MO/00048,100.00,39.75,.40,25
203,16,144,20241026,AL-10/MO/00046,100.00,60.13,.60,25
204,17,144,20241026,AL-10/MO/00046,100.00,49.82,.50,25
205,18,144,20241026,AL-10/MO/00046,100.00,28.02,.28,25
206,18,153,20241030,AL-10/MO/00066,100.00,104.18,1.04,25
207,16,151,20241027,AL-10/MO/00059,100.00,9.94,.10,25
208,17,151,20241027,AL-10/MO/00059,100.00,22.10,.22,25
209,18,151,20241027,AL-10/MO/00059,100.00,34.82,.35,25
210,16,155,20241030,AL-10/MO/00068,100.00,12.18,.12,25
211,17,155,20241030,AL-10/MO/00068,100.00,31.19,.31,25
212,17,153,20241030,AL-10/MO/00066,100.00,29.62,.30,25
213,16,153,20241030,AL-10/MO/00066,100.00,15.30,.15,25
214,18,155,20241030,AL-10/MO/00068,100.00,102.77,1.03,25
215,17,156,20241030,AL-10/MO/00069,100.00,31.57,.32,25
216,16,156,20241030,AL-10/MO/00069,100.00,11.33,.11,25
217,17,152,20241027,AL-10/MO/00061,100.00,12.05,.12,25
218,18,156,20241030,AL-10/MO/00069,100.00,102.42,1.02,25
219,18,152,20241027,AL-10/MO/00061,100.00,35.17,.35,25
220,16,149,20241027,AL-10/MO/00060,100.00,52.28,.52,25
221,16,147,20241026,AL-10/MO/00051,200.00,12.47,.06,25
222,17,147,20241026,AL-10/MO/00051,200.00,12.52,.06,25
223,18,147,20241026,AL-10/MO/00051,200.00,1.80,.01,25
224,16,148,20241026,AL-10/MO/00052,200.00,12.58,.06,25
225,17,148,20241026,AL-10/MO/00052,200.00,13.75,.07,25
226,17,154,20241030,AL-10/MO/00067,100.00,103.63,1.04,25
227,16,154,20241030,AL-10/MO/00067,100.00,30.32,.30,25
228,18,146,20241026,AL-10/MO/00050,200.00,3.27,.02,25
229,17,149,20241027,AL-10/MO/00060,100.00,47.20,.47,25
230,18,149,20241027,AL-10/MO/00060,100.00,13.22,.13,25
231,18,148,20241026,AL-10/MO/00052,200.00,.78,.00,25
232,18,154,20241030,AL-10/MO/00067,100.00,26.10,.26,25
233,17,150,20241027,AL-10/MO/00058,50.00,19.42,.39,25
234,18,150,20241027,AL-10/MO/00058,50.00,18.37,.37,25
